video_id,channel_id,duration(sec),domain,link,has_persian,has_dari,has_iranian,has_pashto
SjSvDf2aCKA,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=SjSvDf2aCKA,True,True,False,False
ipPB4LgqWnY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=ipPB4LgqWnY,True,True,False,False
uid3mhaGqHM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=uid3mhaGqHM,True,True,False,False
MdazJNj-uf8,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=MdazJNj-uf8,True,True,False,False
vIJvOmwlnSU,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=vIJvOmwlnSU,True,True,False,False
DFMuXG6mPCo,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=DFMuXG6mPCo,True,True,False,False
ce_5ZKJmwKE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=ce_5ZKJmwKE,True,True,False,False
RYT1D5WAC7M,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=RYT1D5WAC7M,True,True,False,False
pLL6JlvruUE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=pLL6JlvruUE,True,True,False,False
9NzA0hF3hLE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=9NzA0hF3hLE,True,True,False,False
yubB7E7yzdo,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=yubB7E7yzdo,True,True,False,False
Yqk5B7yBHIc,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=Yqk5B7yBHIc,True,True,False,False
PnKdJn4Xzm8,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=PnKdJn4Xzm8,True,True,False,False
UuJdp8VEZ2Q,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=UuJdp8VEZ2Q,True,True,False,False
ommdxytFPKE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=ommdxytFPKE,True,True,False,False
sddL37JYC4c,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=sddL37JYC4c,True,True,False,False
_wtUdC1MZRY,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=_wtUdC1MZRY,True,True,False,False
L8flHy9KycA,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=L8flHy9KycA,True,True,False,False
l_nz71mnjV0,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=l_nz71mnjV0,True,True,False,False
dL1XGAMxWtw,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=dL1XGAMxWtw,True,True,False,False
bFi62or7QLI,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=bFi62or7QLI,True,True,False,False
R4xh8G9nZxM,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=R4xh8G9nZxM,True,True,False,False
WWdL_8vANUk,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=WWdL_8vANUk,True,True,False,False
bDj6_vmttik,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=bDj6_vmttik,True,True,False,False
UbhkZcSWcH8,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=UbhkZcSWcH8,True,True,False,False
_VEiN8h3514,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=_VEiN8h3514,True,True,False,False
mGY0LD2H8ic,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=mGY0LD2H8ic,True,True,False,False
f1aB5VaU5RE,UCvF0dhWBERzD6YH296cOVFw,,,https://www.youtube.com/watch?v=f1aB5VaU5RE,True,True,False,False
